"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bc2584302fffead698e1809107a60040"	"m"	"Me desculpe, ou melhor, me perdoe por eu não ser a filha dos seus sonhos tao perfeitos, por eu só te decepcionar quando você esperava o maximo de mim."	"positiva"	"3.698"
"bc2584302fffead698e1809107a60040"	"m"	"Obrigado meu Deus pela vida de meu esposo!"	"negativa"	"3.853"
"bc2584302fffead698e1809107a60040"	"m"	"Eu era uma criança muito tímida, me lembro que a turma inteira fazia bagunça e eu ficava ali no canto, sozinho sem conversar com ninguém."	"positiva"	"1.638"
"bc2584302fffead698e1809107a60040"	"m"	"Comecei a pegar carona com ele ao final do expediente, fato que achei melhor esconder do meu marido, ele acha que eu volto de ônibus, mas ônibus são tão lotados e demorados."	"negativa"	"3.904"
"bc2584302fffead698e1809107a60040"	"m"	"Estes seios que não cabem dentro de uma mão, esparramam-se entre os dedos, que torce para que os aperte com firmeza, dedos que entram pelo sutiã, aparecendo pelo decote malicioso da blusa vermelha, e por dentro do sutiã aperta-os com doçura, delicadamente, apalpando e puxando para fora aquilo tudo que por dentro queima e palpita forte."	"negativa"	"6.712"
"bc2584302fffead698e1809107a60040"	"m"	"No horário do almoço, ele me liga e fala que esta com o maior tesão, nossa meu corpo esquenta, como dispara-se algo em mim no som da voz dele,"	"positiva"	"4.352"
"bc2584302fffead698e1809107a60040"	"m"	"Depois de mais uma vez ter tido provas de que esse alguém não me quer , decidi que vou esquece-lo."	"positiva"	"2.870"
"bc2584302fffead698e1809107a60040"	"m"	"Portanto peço que ele seja muito feliz para onde for que seja lá prospero."	"negativa"	"3.247"
"bc2584302fffead698e1809107a60040"	"m"	"Fui na casa do meu namorado hoje e ele tinha ido no mercado."	"positiva"	"3.768"
"bc2584302fffead698e1809107a60040"	"m"	"Nunca passei fome e nem tive doença, agradeço a Deus por ter meus dois olhos,"	"neutra"	"2.055"
"bc2584302fffead698e1809107a60040"	"m"	"Quantas tristezas e decepções eu já passei nessa vida não é mesmo, ainda bem que eu escrevo só pra mim mesmo, pois só eu mesmo sei de tudo que eu já passei, nunca quis compartilhar minha merda de vida com ninguém."	"positiva"	"2.311"
"bc2584302fffead698e1809107a60040"	"m"	"A Felicidade está sempre batendo a nossa porta, basta abri-la e convidá-la a entrar."	"negativa"	"5.575"
"bc2584302fffead698e1809107a60040"	"m"	"Terreiros errados, guias errados, falta de educação com as pessoas, responsabilidade, falta de atitude, falta de sorte, falta de sair de casa, falta de correr atrás, punheta excessiva, cartas, tarô, trabalhos de aberturas."	"positiva"	"1.888"
"bc2584302fffead698e1809107a60040"	"m"	"As mãos envolvendo-os enquanto a boca não para de lambê-los como se fosse sorvete, porque quase derretem na boca."	"negativa"	"24.313"
"bc2584302fffead698e1809107a60040"	"m"	"Eles não gostam de mim, não acreditam em meu potencial de chegar a ser uma psicóloga, não dão nada por mim, pra eles eu sou a mesma coisa de um rato."	"positiva"	"8.124"
"bc2584302fffead698e1809107a60040"	"m"	"Quem ama não esquece, quem ama não deixa passar."	"negativa"	"4.135"
"bc2584302fffead698e1809107a60040"	"m"	"Ficamos namorando até o meu filho fazer um ano então nos casamos, compramos nossa casa e começamos uma vida juntos."	"neutra"	"3.864"
"bc2584302fffead698e1809107a60040"	"m"	"Ela só se importa em te ver bem."	"positiva"	"4.612"
"bc2584302fffead698e1809107a60040"	"m"	"Eu só quero que esse dia acabe logo."	"positiva"	"2.305"
"bc2584302fffead698e1809107a60040"	"m"	"Pois é, me orgulho de mim mesma, porque mesmo com todos os problemas, continuo aqui intacta."	"negativa"	"1.633"
"bc2584302fffead698e1809107a60040"	"m"	"No sábado, dia 28 de julho, foi um sábado maravilhoso."	"positiva"	"7.631"
"bc2584302fffead698e1809107a60040"	"m"	"Odeio sentir preguiça, fico me culpando por não aproveitar o mundo quando fico sem fazer nada, mas nas ultimas semanas sinto grande vontade de dormi e esquecer o mundo ao meu redor."	"positiva"	"1.497"
"bc2584302fffead698e1809107a60040"	"m"	"Seu andar é meio saltitante e alegre, e sempre fazem várias coisas ao mesmo tempo, como estudar vendo TV e falando ao telefone enquanto conversam com você."	"negativa"	"3.440"
"bc2584302fffead698e1809107a60040"	"m"	"Olhei por todos lados do quintal, e sai de pijama pelas ruas de Curitiba te procurando."	"positiva"	"3.567"
"bc2584302fffead698e1809107a60040"	"m"	"Eu te Amo vó, continue a cuidar de mim de onde estiver, obrigada pela vó maravilhosa que foi comigo, por cada gesto de carinho e sorriso."	"neutra"	"3.455"
"bc2584302fffead698e1809107a60040"	"m"	"Eu não consigo ver uma loira gostosa na minha frente que eu já me excito!"	"positiva"	"4.599"
"bc2584302fffead698e1809107a60040"	"m"	"Agora já é 00:03, estou deprimido, sozinho e incerto de meu futuro."	"positiva"	"1.714"
"bc2584302fffead698e1809107a60040"	"m"	"Gente eu tenho 13 anos e eu nunca beijei em toda a minha VIDA."	"negativa"	"2.271"
"bc2584302fffead698e1809107a60040"	"m"	"Hoje prestes a fazer 30 anos, resolvi por um fim nas minhas gordurinhas e levantar a minha autoestima."	"negativa"	"3.063"
"bc2584302fffead698e1809107a60040"	"m"	"Antes de te conhecer eu tinha muitos amigos."	"positiva"	"3.008"
"bc2584302fffead698e1809107a60040"	"m"	"Quando foi semana passada, ela pediu pra eu fazer o cabelo dela novamente, ai eu fiz, pra fora e tal."	"negativa"	"5.423"
"bc2584302fffead698e1809107a60040"	"m"	"Enquanto isso não acontece, vivo a minha doce vida."	"neutra"	"5.223"
"bc2584302fffead698e1809107a60040"	"m"	"ELE ENTÃO COMEÇOU A ENFIAR A MÃO POR DEBAIXO DA COBERTA PRA TENTAR ME TOCAR."	"positiva"	"3.038"
"bc2584302fffead698e1809107a60040"	"m"	"Ele insinuou que eu poderia estar grávida, eu disse que isso, nem pensar, pois eu tomava anticoncepcional."	"neutra"	"3.673"
"bc2584302fffead698e1809107a60040"	"m"	"Eu tenho vários amigos, sou uma pessoa extrovertida, feliz, adoro ver as pessoas felizes ao meu redor, prezo muita pela Saúde, pois se tivermos ela, o resto corremos atrás."	"neutra"	"3.078"
"bc2584302fffead698e1809107a60040"	"m"	"Ele, como eu previa, não tinha camisinha, e eu me recusei a transar daquele jeito."	"positiva"	"4.360"
"bc2584302fffead698e1809107a60040"	"m"	"Eu, já com a respiração acelerada."	"positiva"	"9.529"
"bc2584302fffead698e1809107a60040"	"m"	"Briguei com ele e eu exclui tudo mas na outra semana vi mais e mais desenhos pornôs."	"positiva"	"1.295"
"bc2584302fffead698e1809107a60040"	"m"	"Conheci meu namorado no dia do meu aniversário de 19 anos, nós fazíamos curso técnico na mesma escola técnica, e uma amiga em comum nos apresentou."	"negativa"	"6.391"
"bc2584302fffead698e1809107a60040"	"m"	"Mas é só você que me faz bem."	"neutra"	"21.494"
"bc2584302fffead698e1809107a60040"	"m"	"Quando eu era criança, assistia aos desenhos do Ligeirinho e me encantava ao ver aqueles feijões mexicanos que pulavam sozinhos."	"positiva"	"1.610"
"bc2584302fffead698e1809107a60040"	"m"	"Apenas nos importávamos com a nossa opinião, e namoramos durante 9 meses."	"positiva"	"3.968"
"bc2584302fffead698e1809107a60040"	"m"	"Ele disse que me amava que sente minha falta que quando terminasse a faculdade iria vim me busca."	"positiva"	"2.991"
"bc2584302fffead698e1809107a60040"	"m"	"Ele insistiu que eu relatasse exatamente nosso romance, desde o início, sem omitir nada, e depois publicasse na internet."	"positiva"	"2.848"
"bc2584302fffead698e1809107a60040"	"m"	"Eu fico chateada, óbvio que não abala o meu namoro esses comentários ridículos, mas eu acho que o ser humano deve ser menos indiscreto e ter mais consideração com os outros."	"negativa"	"8.664"
"bc2584302fffead698e1809107a60040"	"m"	"No fim , nos despedimos , e nos olhamos como se nossos olhos trocassem um  eu te amo  e sinto que foi isso mesmo !"	"negativa"	"10.215"
"bc2584302fffead698e1809107a60040"	"m"	"Minha mãe não lembrou, poucas pessoas lembraram."	"negativa"	"4.856"
"bc2584302fffead698e1809107a60040"	"m"	"Ela não pode entrar na internet quando ele tá na casa dela (a não ser BEM RÁPIDO) pq tem que estar o tempo todo JUNTO DELE."	"positiva"	"3.119"
"bc2584302fffead698e1809107a60040"	"m"	"Quando durmo a noite sempre sonho com você, você é lindo."	"neutra"	"5.670"
"bc2584302fffead698e1809107a60040"	"m"	"Quando acordei, meu namorado estava com a mão na minha cintura, me abraçando, e com a cabeça perto do meu cabelo."	"negativa"	"5.914"
"bc2584302fffead698e1809107a60040"	"m"	"Eu mato o tempo, escrevendo nesse diario online."	"positiva"	"2.287"
"bc2584302fffead698e1809107a60040"	"m"	"Obrigada por estar lá quando eu pensei em me suicidar, te olhei, e pensei tenho que ficar pra cuidar de ti."	"positiva"	"4.247"
"bc2584302fffead698e1809107a60040"	"m"	"Passamos uns 20 minutos conversando antes do filme começar e o papo estava bom, ela sorria, me tocava, ajeitava a blusa e o cabelo, sinais de interesse dela."	"neutra"	"2.718"
"bc2584302fffead698e1809107a60040"	"m"	"Sinto minha vida tão bagunçada, vejo meus sonhos morrendo, minha vida tomar direção contrária aquilo que imaginei um dia."	"negativa"	"2.968"
"bc2584302fffead698e1809107a60040"	"m"	"Indiretas afetam o meu mau humor e só faz vc ser mais repugnante pra mim."	"positiva"	"4.112"
