"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Há 5 anos perdi meu motivo, minha esperança, perdi minha vontade de viver."	"neutra"	"22.544"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Falei para minha mãe que ia tomar sorvete com alguns amigos imaginários, a sorveteria fica perto da casa dele e um pouco longe da minha, no contrato inicial, ele tinha proposto tomar um sorvete e a segunda parte eu tinha que escolher."	"negativa"	"3.687"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Minha mãe teve uma briga daquelas comigo por causa dos horários de sono."	"neutra"	"9.224"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Amizades de escola eram verdadeiras."	"neutra"	"2.773"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas meu marido é Materialista, Mal Humorado, digo quase Bi POLAR, um bom pai sim, mas não um bom marido."	"neutra"	"4.462"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Entre risadas, brincadeiras, estava muito legal."	"negativa"	"7.312"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas lembro perfeitamente em que ele me contou que gostava muito de mim."	"neutra"	"1.894"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Lembro do sorriso que você abria quando me via, das explicações que você dava quando não conseguia telefonar."	"positiva"	"3.999"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ela fica jogando na minha cara que eu não sei fazer nada, e ai eu fico com isso na cabeça, e me deixa mais impotente ainda."	"positiva"	"3.783"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele já me traiu uma outra vez e eu perdoei, ele esta agindo igual a outra vez, me tratando com a maior frieza."	"negativa"	"5.829"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Meu dia foi bom, acordei cedo, ajudei minhas mãe e meu pai a arrumarem minha festinha, busquei minhas amigas, comi muito churrasco e bolo, ficamos um tempo de boa."	"negativa"	"4.048"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Você realmente foi muito amigo construindo esta ponte mesmo depois do que eu lhe disse, de repente, num só impulso, o irmão mais velho correu na direção do outro e abraçaram-se"	"positiva"	"7.545"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ultimamente brigo com a minha mãe TODOS os dias, agente briga por tudo, ontem mesmo estava brigando com a minha irmã mais nova a Bruna, por ter mexido nas minhas coisas, e minha mãe já brigou comigo."	"positiva"	"10.713"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"A história fala de três amigas gordinhas, que um dia , se cansam de ser como são, se cansam de ver os olhares de gozo das outras pessoas, se cansam de não poder fazer o que as outras mulheres fazem, se cansam de ser umas badochas."	"negativa"	"10.743"
