texto,rotulo_masculino,rotulo_feminino
word77 word284 word460 word279 word447 word210 word444 word315 word240 word108 word86 word145 word378 word235 word195 word234 word173 word404 word196 word237 word280 word324 word167 word37 word345 word281 word324 word272 word255 word475 word27 word47 word469 word444 word206 word271 word225 word499 word229 word380 word183 word191 word338 word200 word7 word87 word437 word184 word52 word470 word500 word250 word315 word378 word34 word149 word282 word275 word166 word1 word477 word308 word378 word219 word254 word223 word215 word336 word498 word389 word334 word7 word257 word478 word199 word275 word163 word96 word353 word157 word294 word297 word425 word470 word277 word26 word292 word443 word239 word283 word382 word220 word208,neutra,neutra
word373 word4 word120 word249 word97 word18 word210 word354 word121 word138 word339 word474 word259 word280 word414 word34 word491 word238 word190 word309 word456,positiva,positiva
word466 word79 word48 word225 word160 word102 word60 word440 word308 word346 word60 word171 word311 word264 word348 word335 word207 word392 word130 word41 word457 word12 word142 word58 word116 word198 word65 word234 word464 word69 word464 word206 word297 word221 word159 word55 word297 word459 word261 word300 word322 word195 word61 word254 word435 word158 word436 word428 word123 word288 word374 word248 word350 word456 word314 word419 word401 word407 word427 word113 word10 word77 word125,negativa,negativa
word37 word116 word357 word112 word32 word480 word113 word258 word413 word495 word405 word170 word428 word7 word164 word100 word265 word446 word387 word500 word69 word377 word363 word229 word49 word53 word457 word148 word319 word473 word247 word105 word243 word115 word91 word406 word173 word343 word364 word275 word271 word91 word265 word376 word98 word117 word346 word491 word197 word415 word92 word285 word472 word221 word254 word78 word265 word293 word491 word101 word184 word324 word472 word119 word348 word440 word317 word214 word118,negativa,negativa
word248 word198 word105 word422 word287 word253 word187 word387 word174 word119 word42 word437 word37 word423 word190 word2 word464 word371 word362 word274 word381 word67 word118 word272 word368 word295 word204 word336 word30 word255 word198 word250 word66 word452 word427 word472 word421 word333 word144 word58 word306 word474 word182 word497 word78 word142 word325 word247 word381 word173 word388 word151 word75,positiva,positiva
word113 word194 word198 word459 word34 word317 word385 word382 word97 word207 word172 word204 word44 word42 word13 word484 word209 word114 word399 word248 word183 word58 word194 word324 word312 word196 word307 word384 word466 word265 word114 word65 word79 word6 word280 word107 word114 word363 word160 word415 word69 word171 word26 word268 word63 word121 word368 word441 word273 word483 word379 word377 word496,neutra,neutra
word65 word449 word400 word48 word402 word442 word272 word226 word500 word436 word194 word239 word472 word461 word316 word325 word369 word145 word459 word148,positiva,positiva
word238 word267 word446 word131 word296 word344 word7 word448 word496 word44 word131 word394 word405 word79 word459 word165 word147 word179 word336 word104 word272 word38 word74 word385 word192 word397 word369 word499 word69 word468 word446 word218 word68 word67 word256 word6 word48 word266 word282 word431 word488 word134 word166,neutra,neutra
word88 word162 word304 word236 word59 word196 word99 word464 word402 word157 word118 word68 word369 word460 word137 word320 word118 word459 word150 word49 word441 word473 word199 word454 word122 word136 word269 word301 word193 word400 word396 word61 word496 word80 word264 word212 word226 word65 word172 word16 word487 word72 word242 word109 word89 word196 word485 word240 word481 word414 word218 word451 word175 word251 word341 word295 word415 word82 word250 word333 word166 word434 word151 word151 word164 word339 word60,neutra,neutra
word246 word453 word285 word446 word182 word466 word363 word384 word8 word404 word82 word469 word95 word413 word318 word197 word446 word195 word32 word38 word427 word193 word410 word11 word39 word495 word72 word344 word176 word251 word58 word134 word380 word268 word253 word473 word206 word402 word363 word231 word147 word178 word436 word153 word327 word63 word174 word468 word270 word412 word130 word381 word493 word463 word218 word341 word449 word407 word490 word16 word268 word396 word365 word77 word287 word83 word46 word56 word477 word137 word229 word129 word448 word445 word328 word415 word53,positiva,positiva
